Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,2289,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,3823,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,6800,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2019,Tourist/visitor arrivals (thousands),TF,7399,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2020,Tourist/visitor arrivals (thousands),TF,2090,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2021,Tourist/visitor arrivals (thousands),TF,297,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,2550,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,3209,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,5605,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2019,Tourism expenditure (millions of US dollars),,5654,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2020,Tourism expenditure (millions of US dollars),,1794,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
32,Argentina,2021,Tourism expenditure (millions of US dollars),,445,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,12,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,319,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,684,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2019,Tourist/visitor arrivals (thousands),TF,1894,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2020,Tourist/visitor arrivals (thousands),TF,375,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2021,Tourist/visitor arrivals (thousands),TF,870,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,14,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,243,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,694,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2019,Tourism expenditure (millions of US dollars),,1553,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2020,Tourism expenditure (millions of US dollars),,297,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
51,Armenia,2021,Tourism expenditure (millions of US dollars),,813,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,619,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,733,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,824,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
