Area code,Area,Year,Series,Value,Source
18,Southern Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),1134.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2019,Net official development assistance received: Bilateral  (millions of US dollars),958.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2020,Net official development assistance received: Bilateral  (millions of US dollars),1269.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2021,Net official development assistance received: Bilateral  (millions of US dollars),1040.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),58.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),107.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),445.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),584.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),674.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2019,Net official development assistance received: Multilateral (millions of US dollars),438.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2020,Net official development assistance received: Multilateral (millions of US dollars),522.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2021,Net official development assistance received: Multilateral (millions of US dollars),632.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1985,Net official development assistance received: Total (millions of US dollars),217.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1995,Net official development assistance received: Total (millions of US dollars),837.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2005,Net official development assistance received: Total (millions of US dollars),958.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2010,Net official development assistance received: Total (millions of US dollars),1799.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2015,Net official development assistance received: Total (millions of US dollars),1807.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2019,Net official development assistance received: Total (millions of US dollars),1396.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2020,Net official development assistance received: Total (millions of US dollars),1791.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
